,link,category,name,is_save
170,https://vkusvill.ru/goods/kutaby-s-zelenyu-40259.html,Готовая еда,кутабы с зеленью,1
171,https://vkusvill.ru/goods/kutaby-s-syrom-i-pomidorami-48165.html,Готовая еда,кутабы с сыром и помидорами,1
172,https://vkusvill.ru/goods/kystybyy-s-kartofelem-i-myasom-95707.html,Готовая еда,кыстыбый с картофелем и мясом,1
173,https://vkusvill.ru/goods/lagman-s-govyadinoy-316741.html,Готовая еда,лагман с говядиной,1
174,https://vkusvill.ru/goods/lazanya-chetyre-syra-so-slivkami-102739.html,Готовая еда,лазанья четыре сыра со сливками,1
175,https://vkusvill.ru/goods/lazanya-myasnaya-18326.html,Готовая еда,лазанья мясная,1
176,https://vkusvill.ru/goods/lapsha-grechnevaya-s-kuritsey-po-sychuanski-i-ovoshchami-khalyal-94336.html,Готовая еда,лапша гречневая с курицей по-сычуаньски и овощами халяль,1
177,https://vkusvill.ru/goods/lapsha-grechnevaya-s-tsukini-i-orekhovym-sousom-22274.html,Готовая еда,лапша гречневая с цукини и ореховым соусом,1
178,https://vkusvill.ru/goods/lapsha-iz-batata-v-souse-teriyaki-s-kurinym-file-100714.html,Готовая еда,лапша из батата в соусе терияки с куриным филе,1
179,https://vkusvill.ru/goods/lapsha-soba-s-govyadinoy-i-ovoshchami-po-aziatski-100084.html,Готовая еда,лапша соба с говядиной и овощами по-азиатски,1
180,https://vkusvill.ru/goods/lapsha-udon-s-kuritsey-i-ovoshchami-s-sousom-teriyaki-kafe-72567.html,Готовая еда,лапша удон с курицей и овощами с соусом терияки кафе,1
181,https://vkusvill.ru/goods/lepeshka-yeka-s-syrom-tomatami-i-bazilikom-102036.html,Готовая еда,лепешка ёка с сыром томатами и базиликом,1
182,https://vkusvill.ru/goods/lepeshka-s-kartofelem-i-gribami-postnaya-kafe-92483.html,Готовая еда,лепешка с картофелем и грибами постная кафе,1
183,https://vkusvill.ru/goods/lepeshka-tvorog-i-zelen-2-sht-96582.html,Готовая еда,лепешка творог и зелень,1
184,https://vkusvill.ru/goods/lepeshka-s-zelenyu-22487.html,Готовая еда,лепешка с зеленью,1
185,https://vkusvill.ru/goods/lepeshka-s-kuritsey-i-ovoshchami-76538.html,Готовая еда,лепешка с курицей и овощами,1
186,https://vkusvill.ru/goods/lepeshki-kartofelnye-s-syrom-suluguni-101693.html,Готовая еда,лепешки картофельные с сыром сулугуни,1
187,https://vkusvill.ru/goods/lepyeshka-yeka-s-syrom-i-omletom-91084.html,Готовая еда,лепёшка ёка с сыром и омлетом,1
188,https://vkusvill.ru/goods/lodochka-s-syrom-tomatami-i-bazilikom-96559.html,Готовая еда,лодочка с сыром томатами и базиликом,1
189,https://vkusvill.ru/goods/lodochka-s-syrom-yaytsom-i-zelenym-lukom-91081.html,Готовая еда,лодочка с сыром яйцом и зеленым луком,1
190,https://vkusvill.ru/goods/losos-v-apelsinovom-marinade-so-sparzhey-102070.html,Готовая еда,лосось в апельсиновом маринаде со спаржей,1
191,https://vkusvill.ru/goods/makarony-s-kuritsey-i-gribami-34804.html,Готовая еда,макароны с курицей и грибами,1
192,https://vkusvill.ru/goods/manty-po-vostochnomu-83097.html,Готовая еда,манты по-восточному,1
193,https://vkusvill.ru/goods/manty-s-myasom-i-tykvoy-99889.html,Готовая еда,манты с мясом и тыквой,1
194,https://vkusvill.ru/goods/maffin-kurinyy-s-kartofelnym-pyure-i-gribnym-sousom-102717.html,Готовая еда,маффин куриный с картофельным пюре и грибным соусом,1
195,https://vkusvill.ru/goods/salat-mimoza-180-g-25291.html,Готовая еда,салат мимоза,1
196,https://vkusvill.ru/goods/syrniki-210-g-44305.html,Готовая еда,сырники,1
197,https://vkusvill.ru/goods/mini-burgery-s-kotletoy-iz-svininy-i-govyadiny-kamamberom-i-brusnichnym-sousom-92840.html,Готовая еда,мини-бургеры с котлетой из свинины и говядины камамбером и брусничным соусом,1
198,https://vkusvill.ru/goods/mini-chiabatta-s-kuritsey-motsarelloy-i-sousom-ostryy-chili-100734.html,Готовая еда,мини-чиабатта с курицей моцареллой и соусом острый чили,1
199,https://vkusvill.ru/goods/mintay-zharenyy-file-200-g-63774.html,Готовая еда,минтай жареный филе,1
200,https://vkusvill.ru/goods/mintay-file-v-pivnom-klyare-200-g-99757.html,Готовая еда,минтай филе в пивном кляре,1
201,https://vkusvill.ru/goods/moloki-lososevykh-ryb-zharenye-200-g-63113.html,Готовая еда,молоки лососевых рыб жареные,1
